,Funds,Interbank_Funds_Assets,Investments,Loans,Accounts_receivable,Income_receivable,Property,Other_Assets,Total_Assets,Deposits,Demand_deposits,Savings_depsits,Term_deposits,Financial_System_Dep,Interbank_Funds_Liabilities,Borrowings,Issues,Accounts_payable,Expenses_payable,Other_Liabilities,Provisions,Subordinated_Issues,Total_Liabilities,Type,Corp_loans,Largeb_loans,Mediumb_loans,Smallb_loans,Microb_loans,Consumer_loans,Mortg_Loans
Lima,97718.14782,0,300.76682,434324.76932,1087.95031,6934.597029999999,24025.534440000003,18651.864739999997,585292.44452,473897.96254000004,0,56805.52646,397850.99624,1.90357,0,7628.4106600000005,0,10240.32617,8189.93478,2989.9108600000004,4036.2886300000005,0,506984.73721000005,CMAC,16305.736,45.791,19649.862,189503.688,26195.487,201509.895,9828.148
Maynas,63724.55571,0,4976.565,446199.52820999996,1882.05357,6608.033189999999,27152.169530000003,27513.74279,579341.6535199999,445337.83171999996,0,70223.80636,311142.83902,9000,0,24637.3905,0,7997.79264,11157.19915,987.32754,57.556230000000006,0,499175.09778,CMAC,601.499,5402.819,22619.697,306266.647,63491.825,92403.43,10952.678
Paita,22312.337,0,7475.97134,126224.98025,380.22373,2580.0394699999997,14121.083970000002,6031.130990000001,179279.51234000002,142015.95946,0,12525.65589,129255.72455,0,0,5029.4118,0,2490.78508,4211.25129,212.31144,423.18435999999997,0,154382.90343,CMAC,0,0,3219.874,68918.496,36437.665,30183.791,0
Piura,1537929.0935900002,0,200560.48743,5462973.9191000005,1345.8609099999999,89793.18911,148631.12975999998,1936022.41008,9381320.835380001,6225685.47744,0,1592052.6276899998,4338876.7307,1731.1174500000002,0,194638.59581,0,121157.95058,228407.19135,1845461.06174,9702.89416,0,8626784.28853,CMAC,0,36210.983,111420.804,4130497.664,657894.38,905893.752,361153.79
Santa,38367.74207,0,8835.28355,106020.83875999998,5580.175190000001,3871.4588099999996,5225.2019199999995,4569.67443,183860.25457000002,148606.90017999997,0,19036.67004,121141.86009999999,0,0,0,0,819.0028,2793.0496399999997,891.14742,748.72347,0,153858.82351,CMAC,0,0,577.136,64170.674,24528.606,27339.175,0
Tacna,115975.79672999999,0,21833.81178,632961.8572999999,2268.09525,8965.61782,36381.27472,38420.19917,857223.66364,684345.40495,0,168934.71646,488345.92921000003,4075.29585,0,7100.95503,0,7191.2760499999995,13383.22458,4934.21958,811.77551,0,721842.1515500001,CMAC,0,0,6091.41,453947.713,63954.06,171984.907,4546.405
Trujillo,414734.9339,0,331318.25391999993,2433259.3408300006,14236.62749,32593.24037,43401.990939999996,105382.36114,3377099.75924,2447628.3013400002,0,496585.76233999996,1876960.31144,49788.44288,0,266107.57059,0,25638.847100000003,43327.00243,3377.38236,2420.11545,0,2838287.66215,CMAC,269.206,13284.668,19755.421,1896871.953,286027.575,399804.911,161890.508
Cencosud,67060.95791,0,14835.35,443827.84687,25293.10302,11159.792210000001,4925.58074,63269.738769999996,630372.3695200001,288236.83172,0,1.10771,288110.6262,0,0,130000,0,47514.967699999994,5379.104979999999,4890.64559,6590.21565,0,482611.76564,CRAC,0,0,0,0,0,494883.594,0
Centro,26221.818239999997,0,0,96755.03782,464.55629999999996,993.5713900000001,2588.15952,1399.75661,128422.89988000001,111173.43521000001,0,4469.201599999999,106309.4495,0,0,0,0,815.09468,2204.22733,241.50803999999997,20.211,5364.78351,119819.25976999999,CRAC,0,3353.913,42.354,55369.829,11364.342,37276.162,0
Incasur,7701.27995,0,1022.42323,32570.09004,327.96209000000005,385.45517,112.73775,4362.34976,46482.29799,37379.89367,0,1747.89092,34292.43769,0,0,0,0,253.02609,921.9969400000001,95.00547999999999,0,0,38649.92218,CRAC,0,0,1363.659,18064.538,2257.766,14514.724,0
Los Andes,54689.681939999995,0,6785.78311,550079.8753,5218.7686699999995,12493.56627,10828.90909,38319.20667,678524.5022699999,555964.41347,0,35683.29661,518730.28702000005,0,0,4429.32226,0,7294.93485,31.7807,1412.93321,321.26865000000004,0,569454.65314,CRAC,0,0,0,376957.624,146671.768,85442.659,0
Prymera,34256.810079999996,0,0,148944.57418999998,639.9868600000001,2017.9579099999999,5676.50513,35044.426490000005,226580.26066,173464.13072,0,11209.69925,161870.13147,0,0,17.97193,0,2280.35377,3194.56948,1335.7990300000001,178.2955,0,180471.12043,CRAC,948.929,4398.106,4397.805,89546.503,37577.694,25849.658,31.625
